Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Tags,days_since_review,lat,lng,Reviewer_Score
101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,838,8/16/2015,8.4,The Grosvenor, United Kingdom , We ordered steak and chips to the room which we were told would take half hour it came 1 hour and half later with no tomatoes as advertised in the menu The in room fridge was buzzing through the night and the biscuits on tea tray were open so unable to be consumed as they were soggy Apart from this the bed was comfortable and location good ,69,3274, Air conditioning,3,1,"[' Leisure trip ', ' Family with older children ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",718 day,51.4956657,-0.1452793,Intermediate_Reviewer_Score
Via della Giustizia 10 D Bicocca Zara 20125 Milan Italy,221,3/14/2017,7.5,IH Hotels Milano Gioia, Czech Republic , Air conditioning was out of order 2017 March 3rd to 5th so the temperature in the room during the night was really uncomfortable and because of the noisy railway nearby is impossible to have the window opened the whole night The breakfast staff didn t manage the buffet refilling Moreover there is not much seats in the breakfast room some people can wait to be seated There is no mention of length of the extra bed on the webside it was only about 180 cm long And some trivialities missing tea Coffee maker it s 4 hotel hairdryer in the bedroom not in the bathroom city tax of 5 00 per person per night is pretty high ,119,3811, Comfortable beds breakfast buffet included in the price ,10,14,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 2 nights ']",142 day,45.49952,9.206138,Intermediate_Reviewer_Score
37 Avenue De La Motte Picquet 7th arr 75007 Paris France,40,3/8/2016,8.8,H tel Le Walt, United Kingdom ,No Negative,0,257, Great location lovely boutique hotel Staff were very helpful and friendly Will definitely be back ,17,10,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",513 day,48.8547161,2.306642,High_Reviewer_Score
60 Pentonville Road Islington London N1 9LA United Kingdom,685,4/17/2016,8.6,DoubleTree by Hilton London Islington, United Kingdom , More milk in room teabags and sweetner,8,2277, Biscuits on arrival Early check in ,8,3,"[' Business trip ', ' Couple ', ' Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",473 day,51.5322508,-0.1095714,High_Reviewer_Score
Capellans 4 Ciutat Vella 08002 Barcelona Spain,387,2/6/2017,8.9,Hotel Barcelona Catedral, Turkey , They do not change the glasses and teacups daily The rooms have not enough drawer ,17,2695, Location is perfect Staffs are very kind and helpfull Breakfast is the best in the city ,18,2,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room with Extra Bed ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",178 day,41.384829,2.1751277,High_Reviewer_Score
Carburton Street Westminster Borough London W1W 5EE United Kingdom,542,8/7/2016,8.2,Holiday Inn London Regent s Park, United Kingdom , Hotel room a bit tired Very noisy upstairs in the afternoon when my husband was trying to rest after an operation decoration work ,25,2266, Food good service friendly location perfect for our needs ,11,1,"[' Couple ', ' Standard Twin Room ', ' Stayed 1 night ']",361 day,51.5222472,-0.1426128,Intermediate_Reviewer_Score
97 Great Russell Street Bloomsbury Camden London WC1B 3LB United Kingdom,406,6/27/2017,8.2,Radisson Blu Edwardian Kenilworth, United Kingdom , The room allocated was extremely small more suited for a double for single occupancy than two travellers,18,2011, Bed pillows and duvet were fab air conditioning was efficient and quiet ,14,5,"[' Leisure trip ', ' Couple ', ' Standard Double Twin Room ', ' Stayed 3 nights ']",37 days,51.5179725,-0.1280495,High_Reviewer_Score
2 Wallenberg Place Westminster Borough London W1H 7TN United Kingdom,687,10/31/2016,8.9,The Montcalm Marble Arch, Estonia , nothing bad to say,5,2752, They offered Prosecco at check in process breakfast was very good,12,1,"[' Leisure trip ', ' Group ', ' Deluxe Double Room ', ' Stayed 3 nights ']",276 day,51.5150522,-0.159239,High_Reviewer_Score
20 Rue Jean Rey 15th arr 75015 Paris France,333,9/28/2016,8,Mercure Paris Centre Tour Eiffel, Australia , Iron in ironing room needs upgrading but the view from the ironing room is spectacular Looks straight out to the eiffel tower hidden gem ,26,2611, Comfortable bed Friendly staff and close to the eiffel tower Train station closeby to be able to get to other tourist areas without having to walk too far The advantage of being at this hotel is definately being close to the eiffel tower when lit at night spectacular ,50,2,"[' Leisure trip ', ' Solo traveler ', ' Standard Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",309 day,48.8548641,2.2923181,High_Reviewer_Score
75 Gower Street Camden London WC1E 6HJ United Kingdom,369,11/28/2015,6.4,Hotel Cavendish, United Kingdom , Very small room Decor worn This is not a four star hotel,13,2275,No Positive,0,5,"[' Leisure trip ', ' Solo traveler ', ' Cabin Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",614 day,51.5220522,-0.132414,Low_Reviewer_Score
1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,704,3/31/2017,8.3,Novotel London West, United Kingdom , Air con in room could have been a little more efficient ,13,2443, Very friendly and helpful staff ,7,3,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",125 day,51.4919588,-0.2200956,High_Reviewer_Score
81 Jermyn Street Westminster Borough London SW1Y 6JF United Kingdom,243,6/6/2016,8.8,The Cavendish London, United Kingdom , for my personal taste the bed was just too soft but would be liked by most people ,19,1039, room was well appointed with some wonderful pictures well equipped with tv coffee maker etc shower was large,19,3,"[' Leisure trip ', ' Solo traveler ', ' Classic Double Room ', ' Stayed 1 night ']",423 day,51.5077459,-0.1378733,High_Reviewer_Score
7 Pepys Street City of London London EC3N 4AF United Kingdom,1936,5/20/2016,8.7,DoubleTree by Hilton Hotel London Tower of London, Denmark , Very small rooms including the bathroom,7,7491, Location when having meetings in the city of London nice staff,12,39,"[' Business trip ', ' Solo traveler ', ' Queen Room Mobility Access ', ' Stayed 1 night ', ' Submitted from a mobile device ']",440 day,51.5108412,-0.0780581,Intermediate_Reviewer_Score
41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom,1299,7/19/2017,8.7,St James Court A Taj Hotel London, United Kingdom , Nothing It was perfect,5,5394, Extremely comfortable bed and fabulous breakfast,7,1,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",15 days,51.4986732,-0.1376867,High_Reviewer_Score
130 134 Southampton Row Camden London WC1B 5AF United Kingdom,299,10/20/2015,8.3,Mercure London Bloomsbury Hotel, United Kingdom ,No Negative,0,1361, The staff were always friendly and helpful Our stay was made very enjoyable in every way The hotel is easy to reach from the station and close enough to walk to the theatres and other attractions ,38,3,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",653 day,51.5210085,-0.1230966,High_Reviewer_Score
One Eastern Gateway Royal Victoria Dock Newham London E16 1FR United Kingdom,694,5/24/2016,8.7,Aloft London Excel, United Kingdom , nothing that can be helped it s a bit far out for a tourist but perfect for the attractions in the east of London,25,2332, I like the cleanliness and the feeling of space in the room loved the view from our window the decor in the hotel is modern and i like that too very comfortable bed ,35,3,"[' Leisure trip ', ' Family with older children ', ' Double or Twin Room ', ' Stayed 1 night ']",436 day,51.5083719,0.0355768,High_Reviewer_Score
Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands,926,8/30/2015,8.2,Ramada Apollo Amsterdam Centre, United Kingdom , No bad experiances Could not fault the hotel ,10,5770, The staff were very attentive and paid close attention to make sure we had a lovely stay They were very friendly and happy to help when needed Could not fault the staff The hotel overall was spotless and super clean aswell as the rooms Beds were comfortable and had an excellent view over the city from our room Floor 17 food and cocktails were excellent and again staff working in the bar restaraunt were super helpful and made sure we got everything we needed Tram stop was just a 1 minute walk away from the front of the hotel therefore made easy access to the centre with just a 10 15 minute tram ride Superb views overlooking the city on the rooftop terrance and a relaxed and enjoyable environment to be around Would 100 recommend anyone staying in Amsterdam to book this hotel Would definately go back and is outstanding value for money Both my boyfriend and I were very very pleased with this hotel and were quite sad to be leaving as we enjoyed it so much ,180,1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",704 day,52.3681299,4.8440847,High_Reviewer_Score
Rennweg 16 03 Landstra e 1030 Vienna Austria,370,8/10/2015,8.9,Austria Trend Hotel Savoyen Vienna, United Kingdom ,No Negative,0,4016, Comfort of the room,5,5,"[' Leisure trip ', ' Family with older children ', ' Deluxe Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",724 day,48.1950444,16.3844751,High_Reviewer_Score
Coram Street Camden London WC1N 1HT United Kingdom,709,8/5/2016,8.2,Holiday Inn London Bloomsbury, Canada ,No Negative,0,2995, Good breakfast Friendly helpful staff Excellent location ,9,5,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ']",363 day,51.5241248,-0.1258066,Intermediate_Reviewer_Score
30 John Islip St Westminster Borough London SW1P 4DD United Kingdom,807,8/16/2015,8.5,DoubleTree by Hilton London Westminster, United Kingdom ,No Negative,0,3269, Room was very well presented Staff were very helpful Location was great only 5min walk from the tube station ,21,1,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",718 day,51.4932356,-0.1269082,Intermediate_Reviewer_Score
26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,328,4/12/2016,7.5,Mayflower Hotel Apartments, Australia , Rooms were a lot smaller than expected but still very nice ,13,2197, Great Location,3,1,"[' Couple ', ' Deluxe Double Room with Four Poster Bed ', ' Stayed 1 night ']",478 day,51.4916677,-0.1947475,Intermediate_Reviewer_Score
Avenida Litoral 10 Ciutat Vella 08005 Barcelona Spain,199,9/6/2016,8.6,Pullman Barcelona Skipper, United Kingdom , Air conditioning could have been a bit more powerful and the menu could have been a little more variable and inventive ,23,1424, Two fabulous pools including one on the roof beautiful room although the ones with a balcony are better and more expensive 2 minute walk to a lovely beach albeit near a main road a longer walk to Barcelonetta with busy beach bars and so forth Long walk into Barcelona itself but public transport outside the door ,58,6,"[' Leisure trip ', ' Solo traveler ', ' Classic Twin Room ', ' Stayed 5 nights ']",331 day,41.3860183,2.19473,High_Reviewer_Score
De Passage 90 Noord Holland Zuidoost 1101 AX Amsterdam Netherlands,514,4/29/2016,8.9,Jaz Amsterdam, Romania ,No Negative,0,7108, Everything was perfect The hotel is near a metro station 5 minutes by foot to the station then 18 minutes with metro to Amsterdam centraal in front of Amsterdam Arena and Ziggo dome The room is large with a special design the bathroom looks well with some high tech facilities The bed is big and comfortable There is a good breakfast The internet connection works well One of the best hotels that I stayed in Highly recommended The price of the room may be a little problem but it worths the money ,94,28,"[' Leisure trip ', ' Family with older children ', ' Superior Double Room ', ' Stayed 4 nights ']",461 day,52.314371,4.9388064,High_Reviewer_Score
75 Gower Street Camden London WC1E 6HJ United Kingdom,369,9/17/2015,6.4,Hotel Cavendish, United Kingdom ,No Negative,0,2275, STAFF LOVELY COMFORTABLE SINGLE CABIN BREAKFAST TEA FACILITY IN ROOM HAIRDRYER TOILETRIES IN ROOM PERFECT LOCATION IN CENTRAL LONDON WALKING DISTANCE TO EUSTON STATION,25,3,"[' Business trip ', ' Solo traveler ', ' Cabin Single Room ', ' Stayed 1 night ']",686 day,51.5220522,-0.132414,Intermediate_Reviewer_Score
Delflandlaan 15 Slotervaart 1062 EA Amsterdam Netherlands,947,5/22/2017,8.7,Best Western Premier Hotel Couture, Hong Kong , Only one male staff is willing to answer questions the rest of ladies are reluctant to answer your questions,20,8177,No Positive,0,1,"[' Business trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",73 days,52.3511137,4.8411629,Intermediate_Reviewer_Score
Distelkade 21 Amsterdam Noord 1031 XP Amsterdam Netherlands,83,2/27/2017,8.2,NH Amsterdam Noord, United Kingdom , The bed was uncomfortable ,6,734,No Positive,0,5,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",157 day,52.3923684,4.9110442,Intermediate_Reviewer_Score
5 Olympic Way Wembley Brent London HA9 0NP United Kingdom,832,12/29/2016,8.9,Novotel London Wembley, United Kingdom ,No Negative,0,2924, The hotel is great option it s located in a good area and good hotel for the money ,20,1,"[' Leisure trip ', ' Couple ', ' Superior Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",217 day,51.5611271,-0.2787261,High_Reviewer_Score
Hendrikje Stoffelstraat 1 Slotervaart 1058 GC Amsterdam Netherlands,757,3/5/2016,8.7,WestCord Fashion Hotel Amsterdam, United Arab Emirates , Bar music was a little loud at night only ,11,5236, Very friendly staff Good views Close to train and tram station s,13,8,"[' Leisure trip ', ' Solo traveler ', ' Large Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",516 day,52.357655,4.844576,High_Reviewer_Score
Westminster Bridge Road Lambeth London SE1 7UT United Kingdom,2623,11/2/2016,8.7,Park Plaza Westminster Bridge London, United Kingdom , Low sirens from nearby hospital through the night ,10,12158, Lounge music in the bar every eve ,9,1,"[' Leisure trip ', ' Family with young children ', ' Studio King Family ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",274 day,51.5009609,-0.1165913,Intermediate_Reviewer_Score
34 Norfolk Place Paddington Westminster Borough London W2 1QW United Kingdom,634,4/20/2017,7.9,Norfolk Towers Paddington, United Kingdom , The room was very small and the bathroom even smaller Had to be a contortionist to close the door once inside ,23,4065,No Positive,0,3,"[' Leisure trip ', ' Solo traveler ', ' Club Single Room ', ' Stayed 1 night ']",105 day,51.5162883,-0.1721078,Intermediate_Reviewer_Score
166 Boulevard Berthier 17th arr 75017 Paris France,59,5/19/2016,8.7,H tel de Banville, Switzerland , Pictures in web nicer than reality ,8,493, Great staff,3,49,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",441 day,48.8864673,2.2948911,Intermediate_Reviewer_Score
3 Berkeley Street Westminster Borough London W1J 8NE United Kingdom,390,11/1/2015,8,Holiday Inn London Mayfair, United Kingdom , For the price wifi should be included ,9,1894, Nice room very clean and spacious ,8,2,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",641 day,51.507746,-0.1422993,Intermediate_Reviewer_Score
Great Cumberland Place Westminster Borough London W1H 7DL United Kingdom,1190,9/13/2015,7.5,The Cumberland A Guoman Hotel, Malta ,No Negative,0,5180, Central location and ideal if travelling with young children staff super helpful Room clean and breakfast was super Will definitely visit again THANK YOU,25,1,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 3 nights ']",690 day,51.514879,-0.1606501,High_Reviewer_Score
265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,10/24/2016,8.1,DoubleTree by Hilton London Docklands Riverside, United Kingdom , Very cold in corridors,5,3826, Friendly helpful staff,4,1,"[' Business trip ', ' Solo traveler ', ' Double Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",283 day,51.5043483,-0.0334436,High_Reviewer_Score
12 Boulevard Haussmann 9th arr 75009 Paris France,78,7/13/2017,7.8,Millennium Hotel Paris Opera, United Kingdom ,No Negative,0,515, Exceptional staff who were very attentive and accommodating The food was outstanding and perfectly cooked presented Our room was very clean spacious and had a great balcony Breakfast in the room is a must Highly recommend this hotel ,40,4,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",21 days,48.8724588,2.3378004,High_Reviewer_Score
Parkring 12a 01 Innere Stadt 1010 Vienna Austria,130,7/23/2017,8.2,Vienna Marriott Hotel, Kuwait , Location ,3,939, Location ,3,1,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",11 days,48.2050967,16.3770928,Intermediate_Reviewer_Score
11 rue de Tr vise 9th arr 75009 Paris France,111,5/10/2016,8.3,H tel Diva Opera, Greece ,No Negative,0,1353, Excellent stuff and location ,6,2,"[' Leisure trip ', ' Family with young children ', ' Superior Triple Room ', ' Stayed 4 nights ']",450 day,48.8732706,2.3450746,High_Reviewer_Score
Whitehall Place Westminster Borough London SW1A 2BD United Kingdom,157,5/17/2017,9.4,Corinthia Hotel London, United Kingdom , We felt The Bassoon bar lacked atmosphere and the bloody Mary s were rubbish,15,520, Very good outside cigar smoking terrace one of the best in London terrific cigar humidor and collection too On the whole up there with the best hotels in London Great spa facilities ,34,5,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",78 days,51.5045583,-0.1262584,High_Reviewer_Score
Lakeside Way Brent London HA9 0BU United Kingdom,1427,7/5/2016,8.8,Hilton London Wembley, United Kingdom , No valet for parking No catering for gluten free when we asked at breakfast we were told we have fruit to offer Cold breakfast in room Poor value for money,31,4305, Location everything on doorstep,5,3,"[' Leisure trip ', ' Couple ', ' Executive King Room with Lounge Access ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",394 day,51.5576962,-0.2835263,Intermediate_Reviewer_Score
40 Rue du Commandant Ren Mouchotte 14th arr 75014 Paris France,228,3/13/2016,7.9,H tel Concorde Montparnasse, Russia , Wi Fi is completely awful and no fridge in the room ,13,2515, Staff is friendly and room service is great ,10,9,"[' Business trip ', ' Group ', ' 2 rooms ', ' Stayed 4 nights ']",508 day,48.8381079,2.318669,Intermediate_Reviewer_Score
Herrengasse 12 01 Innere Stadt 1010 Vienna Austria,157,9/28/2015,8.4,Radisson Blu Style Hotel Vienna, Czech Republic , could be a bit cheaper ,7,1189, breakfast and staf was excellent location very good ,10,11,"[' Leisure trip ', ' Family with older children ', ' Standard Double or Twin Room ', ' Stayed 2 nights ']",675 day,48.2101211,16.3655537,Intermediate_Reviewer_Score
60 Pentonville Road Islington London N1 9LA United Kingdom,685,4/9/2016,8.6,DoubleTree by Hilton London Islington, Australia ,No Negative,0,2277, Comfy beds good size room Welcome Cookie on arrival was delicious staff very helpful Close to restaurants Walking distance to Kings Cross Station ,25,4,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 4 nights ']",481 day,51.5322508,-0.1095714,Intermediate_Reviewer_Score
1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,1058,12/22/2015,7.7,The Park Grand London Paddington, Australia ,No Negative,0,4380, Excellent Quiet modern rooms air con great shower room service friendly staff and 12pm checkout All for a good price Will definitely be staying here again ,28,1,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",590 day,51.5142184,-0.1809032,High_Reviewer_Score
5 7 Princes Square Kensington and Chelsea London W2 4NP United Kingdom,371,12/25/2016,7.3,The Premier Notting Hill, United Kingdom , Was bit cold in the room,7,2215, Bed was good,4,1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",221 day,51.5127453,-0.1926437,Intermediate_Reviewer_Score
Avenida Diagonal 1 Sant Mart 08019 Barcelona Spain,396,4/26/2016,8.3,Barcelona Princess, United Kingdom ,No Negative,0,4293, We were on th 25th floor with spectacular views and staff were amazing and we re used to 5 star service but they booked us into the restaurant we wanted and advised on several matters ,37,2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room with Sea View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",464 day,41.4109715,2.2186535,High_Reviewer_Score
265 Rotherhithe Street Southwark London SE16 5HW United Kingdom,995,11/23/2015,8.1,DoubleTree by Hilton London Docklands Riverside, United Kingdom , Our TV didn t work I m sure if we d asked it would have been sorted but as we were only staying a night we didn t bother Shame it wasn t checked beforehand though The main issue is with the wifi The code didn t work in the room and we had no phone signal I really think such a massive hotel chain should provide free wifi in the rooms ,74,3826, Love that you get cookies on arrival at Doubletree Hotels The room was surprisingly spacious considering it was the cheapest option It was also nice and quiet ,29,5,"[' Leisure trip ', ' Couple ', ' Double Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",619 day,51.5043483,-0.0334436,Intermediate_Reviewer_Score
2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,4/19/2016,9.3,Hilton London Bankside, United States of America , My husband and I have no complaints ,9,2319, The hotel is in a fabulous location the staff was attentive the rooms were spotless and the beds were super comfortable I highly recommend this hotel ,28,10,"[' Leisure trip ', ' Couple ', ' Twin Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",471 day,51.5056956,-0.101525,High_Reviewer_Score
61 Lincoln s Inn Fields Camden London WC2A 3JW United Kingdom,681,3/1/2016,8.9,Club Quarters Hotel Lincoln s Inn Fields, United Kingdom , some more coffee tea in the room ,9,2692, very comfy bed and nice and quiet room,9,1,"[' Leisure trip ', ' Couple ', ' Small Queen Room ', ' Stayed 1 night ']",520 day,51.5160988,-0.1181749,High_Reviewer_Score
South Quay Marsh Wall Tower Hamlets London E14 9SH United Kingdom,974,6/21/2016,9,Hilton London Canary Wharf, United Kingdom , Everything was great,4,3040, Everything staff food room facilities were amazing,8,1,"[' Leisure trip ', ' Family with older children ', ' King Junior Suite with Lounge Access ', ' Stayed 1 night ', ' Submitted from a mobile device ']",408 day,51.5007324,-0.01655,High_Reviewer_Score
Viale Sarca 336 Bicocca Zara 20125 Milan Italy,563,1/26/2016,8.3,Hotel degli Arcimboldi, Spain ,No Negative,0,10842, breakfast close to metro,5,37,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']",555 day,45.5257221,9.2150033,High_Reviewer_Score
51 Rue de Malte 11th arr 75011 Paris France,21,10/24/2016,8.9,Hotel Le Mareuil, United States of America , They don t stock name brand liquor ,9,153, The staff were very helpful and friendly,8,1,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 3 nights ']",283 day,48.8659899,2.3674149,Intermediate_Reviewer_Score
12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,404,3/15/2016,8.9,Arbor City, United Kingdom , Car park price,4,2197, brilliant location,3,3,"[' Leisure trip ', ' Group ', ' Club Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",506 day,51.5166755,-0.0697897,High_Reviewer_Score
21 rue de Dunkerque 10th arr 75010 Paris France,740,9/21/2015,7.4,Mercure Paris Terminus Nord, Spain , Nor the staff un atentive unfriendly didn t quite express themselves in English nor the room broken door bathroom in need of a major overhaul nor the corridor leading to the room dirty nor the service nothing but a glass in the room nor the air conditioning un existant nor the wi fi impossible to connect to Honestly one of my worst hotel experiences in my entire life ,70,5575, The only really good thing is the location just in front of the Gare du Nord ,18,15,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 1 night ']",682 day,48.8794843,2.3556545,Low_Reviewer_Score
1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,1274,3/19/2016,7.7,Grand Royale London Hyde Park, United Kingdom , Instructions to switch on the heating air con could be improved and be made more readily available alongside the other hotel information in the room ,27,6539, The hotel room was clean warm and very comfortable and the breakfast was more than plentiful The room itself wasn t the largest of hotel rooms I have stayed in however the comfort of the room and having a great nights sleep more than made up for the lack of space I found the staff to be exceptionally helpful from the point of my arrival and throughout the stay At checkout time the staff were politely informed that I could leave my luggage in a secure room whilst I went off to do some shopping before my actual departure time from London which was most appreciated Overall I had an enjoyable stay at the Grand Royale London Park Hotel and would certainly consider staying again on future visits to London ,132,1,"[' Leisure trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 1 night ']",502 day,51.5109945,-0.1863417,High_Reviewer_Score
50 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,417,10/28/2015,6.7,Commodore Hotel, United Kingdom , No bar no room service We had the noisiest of rooms coming from the tube and aircon basement room The bed linen was too small for the bed ,30,2400, Great location for central London Close to some good family restaurants Nice pleasant staff Nice size bed ,19,3,"[' Family with young children ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",645 day,51.5124496,-0.1795215,Intermediate_Reviewer_Score
Excel 2 Festoon Way Royal Victoria Dock Newham London E16 1RH United Kingdom,853,9/24/2016,8.4,DoubleTree By Hilton London Excel, United Kingdom , Hard to fault ,5,2726, Everywhere was spotlessly clean and well equiped Staff were friendly helpful Hot cookie on check in was outstanding ,20,3,"[' Leisure trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 1 night ']",313 day,51.507377,0.038657,High_Reviewer_Score
1 Rue Du G n ral Blaise 11th arr 75011 Paris France,89,11/16/2016,8.2,Gardette Park Hotel, United Kingdom ,No Negative,0,1011, Great location Clean Friendly staff Value for money ,10,40,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",260 day,48.8610265,2.3788974,High_Reviewer_Score
Western Avenue Ealing London W5 1HG United Kingdom,335,9/15/2016,8.5,Crowne Plaza London Ealing, United Kingdom , Takes a long time on the bus to the stadium so allow loads of time,16,944, Close to Wembley,4,12,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",322 day,51.5403942,-0.3697581,Intermediate_Reviewer_Score
130 134 Southampton Row Camden London WC1B 5AF United Kingdom,299,2/23/2016,8.3,Mercure London Bloomsbury Hotel, United Kingdom ,No Negative,0,1361, Good location great breakfast,5,3,"[' Leisure trip ', ' Couple ', ' Small Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",527 day,51.5210085,-0.1230966,High_Reviewer_Score
Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,5/29/2017,8.5,JUFA Hotel Wien, Austria ,No Negative,0,3748, Very close to the train station in Simmering main train station of Vienna is easy to reach close to the metro station Enkplatz not far from the Gasometer Stephansplatz 15 minute metro ride,34,1,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 1 night ']",66 days,48.1756283,16.4200957,High_Reviewer_Score
61 Lincoln s Inn Fields Camden London WC2A 3JW United Kingdom,681,4/11/2017,8.9,Club Quarters Hotel Lincoln s Inn Fields, United Kingdom ,No Negative,0,2692, Location Room Friendly helpful staff,6,2,"[' Leisure trip ', ' Family with young children ', ' Superior Queen Room ', ' Stayed 2 nights ']",114 day,51.5160988,-0.1181749,High_Reviewer_Score
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,1/19/2016,7.1,Britannia International Hotel Canary Wharf, United Kingdom , Needs updating decor very 80 s,7,9086,No Positive,0,2,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",562 day,51.5019097,-0.0232208,Intermediate_Reviewer_Score
163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,3/1/2016,7.1,Britannia International Hotel Canary Wharf, United Kingdom , Room wasn t clean bathroom was disgusting old furniture Walls cracking bad paint look like they did a quick patch job on everything NO HEATING at all and was very cold ,33,9086, The set up of the room is nice But,10,1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",520 day,51.5019097,-0.0232208,Low_Reviewer_Score
Rambla del Raval 17 21 Ciutat Vella 08001 Barcelona Spain,256,8/6/2016,8.4,Barcel Raval, United Kingdom ,No Negative,0,2254, Staff went the extra mile,6,1,"[' Leisure trip ', ' Family with young children ', ' Superior Triple Room 3 Adults ', ' Stayed 1 night ', ' Submitted from a mobile device ']",362 day,41.3790126,2.1696339,High_Reviewer_Score
